[10/8/2023 8:26:25 PM] [INFO] received Windows console close event; shutting log-core down
[10/8/2023 8:30:28 PM] [INFO] received Windows console close event; shutting log-core down
[10/8/2023 8:50:47 PM] [INFO] received Windows console close event; shutting log-core down
[10/12/2023 2:33:54 PM] [INFO] received Windows console close event; shutting log-core down
[10/15/2023 11:07:36 AM] [INFO] received Windows console close event; shutting log-core down
[10/15/2023 11:11:20 AM] [INFO] received Windows console close event; shutting log-core down
[10/15/2023 9:28:41 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/15/2023 9:33:24 PM] [INFO] received Windows console close event; shutting log-core down
[10/15/2023 9:33:42 PM] [INFO] received Windows console close event; shutting log-core down
[10/15/2023 9:54:57 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 6:53:31 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:01:29 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:02:05 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:03:25 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:09:02 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:13:29 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:19:28 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:20:14 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:21:45 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:22:32 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 7:23:46 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:04:34 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:04:34 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:04:36 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:11:54 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:25:43 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:28:08 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:34:00 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:36:12 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:41:00 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:48:56 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:49:07 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:57:14 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 8:59:55 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:05:16 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:09:09 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:09:11 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:16:19 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:27:50 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:39:24 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:44:39 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:48:01 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:49:18 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:50:52 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:54:09 PM] [INFO] received Windows console close event; shutting log-core down
[10/16/2023 9:56:19 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 10:32:06 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 10:40:49 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 10:41:15 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 10:41:31 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 10:41:48 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 10:42:01 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 10:53:37 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:30:56 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:31:19 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:31:20 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:31:55 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:32:20 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:34:55 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:35:21 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:35:38 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:36:13 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:36:30 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:37:13 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 11:42:52 AM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 11:49:16 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:14:53 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:15:24 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:15:46 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:18:07 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:19:06 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:36:28 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:36:56 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:37:26 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:39:55 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:40:29 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:40:45 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:47:29 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:51:46 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:52:03 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:52:26 PM] [INFO] received Windows console close event; shutting log-core down
[10/17/2023 12:52:53 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:53:09 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:53:26 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/17/2023 12:55:01 PM] [INFO] received Windows console close event; shutting log-core down
